dx,dy,vx,vy,success
-88.68,-83.97,5.00,0.00,1
-59.19,-54.77,5.00,5.00,0
-64.34,-88.70,5.00,0.00,1
52.37,33.58,-5.00,-5.00,0
-25.16,73.93,0.00,-5.00,0
-39.35,47.19,5.00,0.00,0
29.26,-83.46,5.00,0.00,1
19.69,-72.97,5.00,0.00,1
-76.10,-21.59,-5.00,0.00,1
-48.15,67.88,5.00,-5.00,1
16.38,-65.41,-5.00,5.00,1
-72.85,-33.89,0.00,5.00,1
-75.40,37.24,-5.00,5.00,1
57.41,-49.96,-5.00,-5.00,1
-89.91,-13.98,0.00,-5.00,1
-53.44,69.56,5.00,5.00,1
-99.01,55.52,-5.00,0.00,1
24.79,-88.66,-5.00,-5.00,1
63.86,-79.04,0.00,-5.00,1
5.17,53.78,-5.00,-5.00,1
-71.61,-20.16,-5.00,-5.00,1
60.76,-81.68,-5.00,0.00,1
8.07,81.23,-5.00,0.00,1
59.19,-83.78,0.00,5.00,1
74.75,32.39,0.00,5.00,1
83.27,6.98,-5.00,-5.00,1
-84.49,-56.36,-5.00,-5.00,1
-94.51,-0.60,5.00,5.00,1
24.10,85.49,0.00,5.00,1
-89.92,-38.59,5.00,0.00,1
52.47,98.57,-5.00,-5.00,0
-40.19,-69.70,0.00,5.00,0
-88.74,23.94,-5.00,0.00,1
23.28,-85.05,5.00,-5.00,1
72.78,-55.89,-5.00,-5.00,1
-8.06,79.88,5.00,-5.00,1
73.60,-56.84,5.00,0.00,1
-24.92,-88.49,0.00,5.00,0
-55.15,45.48,0.00,5.00,1
83.97,1.60,5.00,5.00,1
-55.96,29.66,0.00,-5.00,1
-36.72,41.83,-5.00,0.00,1
96.64,13.52,-5.00,-5.00,1
-67.51,-97.41,0.00,-5.00,1
63.27,-89.67,0.00,5.00,1
32.22,44.38,5.00,0.00,1
-82.81,45.19,-5.00,-5.00,1
53.89,90.90,0.00,-5.00,1
-45.69,75.58,-5.00,5.00,1
71.77,41.44,5.00,-5.00,1
53.23,-85.77,-5.00,-5.00,1
63.11,70.95,5.00,5.00,1
15.28,-97.20,5.00,0.00,1
84.81,6.78,0.00,-5.00,1
29.66,86.03,5.00,-5.00,1
85.56,-97.88,5.00,-5.00,1
-56.93,-12.23,5.00,5.00,0
-59.14,-44.03,5.00,5.00,0
99.52,40.05,-5.00,-5.00,1
-46.60,-49.39,-5.00,5.00,1
10.16,51.69,0.00,5.00,1
-64.72,25.53,5.00,-5.00,0
39.97,-81.04,5.00,5.00,1
-88.83,-53.77,5.00,-5.00,1
-49.01,87.19,0.00,-5.00,1
7.51,54.54,-5.00,-5.00,1
42.69,-35.21,5.00,5.00,1
60.82,28.36,-5.00,5.00,1
18.65,-48.55,0.00,5.00,1
39.95,-61.88,5.00,0.00,1
3.14,-68.21,5.00,0.00,1
-8.63,-50.58,5.00,0.00,1
15.55,-94.76,0.00,5.00,0
-93.95,66.83,-5.00,5.00,1
-31.04,95.78,-5.00,-5.00,1
-79.13,-8.55,5.00,5.00,1
-58.04,-38.29,-5.00,-5.00,1
-79.87,53.31,5.00,5.00,1
21.23,-54.21,-5.00,5.00,0
-60.48,97.42,5.00,5.00,1
79.69,89.66,-5.00,5.00,1
20.29,61.03,-5.00,-5.00,0
81.13,99.84,5.00,-5.00,1
-38.19,57.23,0.00,5.00,1
3.00,53.57,-5.00,0.00,1
-42.04,-59.33,5.00,0.00,1
-67.93,76.29,-5.00,5.00,1
59.41,-17.82,-5.00,0.00,0
-99.57,-4.30,0.00,5.00,1
-68.75,-53.59,5.00,0.00,1
-79.39,68.50,5.00,-5.00,0
52.65,13.66,5.00,5.00,1
-60.42,92.32,-5.00,5.00,1
1.45,57.77,0.00,-5.00,0
-47.85,-90.04,0.00,5.00,1
-33.42,-50.14,5.00,5.00,0
38.97,-95.82,5.00,5.00,1
29.02,-91.78,-5.00,-5.00,1
-76.53,-97.96,-5.00,-5.00,1
-64.42,-86.95,-5.00,-5.00,1
70.08,74.28,0.00,5.00,1
-31.37,-67.07,0.00,-5.00,1
-61.40,42.14,5.00,-5.00,0
83.52,-49.30,5.00,5.00,1
-85.04,74.20,0.00,5.00,1
62.88,81.19,-5.00,0.00,1
-76.99,79.58,0.00,5.00,1
9.56,-62.47,5.00,5.00,1
-9.99,-53.89,0.00,-5.00,1
52.82,98.78,0.00,5.00,1
-66.30,-17.70,-5.00,-5.00,1
58.01,1.19,-5.00,0.00,0
-30.63,-46.74,5.00,-5.00,1
36.17,98.20,-5.00,0.00,1
-71.91,-79.21,-5.00,5.00,1
-4.23,92.07,5.00,5.00,1
72.53,-88.00,5.00,-5.00,1
62.65,-84.14,5.00,-5.00,1
-55.23,10.45,5.00,-5.00,0
-2.45,79.48,-5.00,-5.00,1
-24.38,-46.11,0.00,-5.00,1
-67.88,4.51,-5.00,5.00,1
91.45,18.47,-5.00,0.00,0
30.88,44.37,0.00,5.00,1
-68.22,-64.53,5.00,-5.00,1
-65.52,49.03,-5.00,5.00,1
-78.92,-20.14,5.00,5.00,0
47.77,-63.10,-5.00,5.00,0
70.98,-23.34,5.00,5.00,1
70.90,12.09,-5.00,-5.00,0
63.43,13.48,5.00,5.00,1
50.13,-92.62,5.00,-5.00,1
42.92,77.16,5.00,-5.00,1
-52.21,52.91,0.00,-5.00,1
-87.66,63.67,5.00,5.00,1
-12.16,69.75,5.00,-5.00,0
-49.72,-46.47,-5.00,0.00,1
92.05,-31.76,0.00,-5.00,1
-22.68,67.12,5.00,-5.00,0
-84.82,-96.32,5.00,0.00,1
-6.47,88.82,0.00,-5.00,0
64.12,40.56,0.00,-5.00,1
-47.43,-25.99,5.00,-5.00,1
-59.20,-29.35,0.00,5.00,1
25.78,87.73,-5.00,-5.00,0
-12.43,87.97,-5.00,0.00,1
92.12,-22.78,5.00,-5.00,1
84.35,-10.49,0.00,-5.00,1
83.44,-74.16,-5.00,-5.00,1
-16.72,52.16,-5.00,0.00,1
96.27,74.60,-5.00,0.00,1
87.69,-56.83,-5.00,0.00,1
48.19,95.38,-5.00,5.00,1
-83.44,-34.40,5.00,5.00,0
-10.36,76.32,5.00,5.00,1
-39.43,43.00,0.00,-5.00,0
-24.27,44.92,0.00,5.00,1
-84.66,-39.91,5.00,5.00,0
24.38,-79.53,5.00,5.00,1
51.84,-94.74,0.00,-5.00,1
97.03,-40.93,0.00,5.00,1
93.88,16.00,5.00,-5.00,1
51.17,-33.51,0.00,-5.00,1
48.57,-63.42,0.00,-5.00,1
-29.79,-62.06,5.00,0.00,1
99.07,-89.42,-5.00,5.00,1
83.08,73.04,5.00,0.00,1
96.63,1.71,0.00,-5.00,1
-18.88,-88.65,5.00,-5.00,1
-99.54,-7.03,5.00,-5.00,1
70.47,-98.44,0.00,5.00,1
62.64,37.31,-5.00,0.00,0
30.74,72.23,-5.00,-5.00,0
-79.39,-18.44,-5.00,0.00,1
62.87,-80.53,-5.00,-5.00,1
75.44,59.77,-5.00,0.00,1
13.81,57.12,-5.00,0.00,1
9.45,55.46,-5.00,5.00,1
-36.32,64.79,0.00,5.00,1
6.26,62.12,5.00,5.00,1
-97.96,-98.66,0.00,-5.00,1
-18.66,76.99,0.00,-5.00,0
78.27,98.07,5.00,0.00,1
-44.78,42.30,5.00,5.00,1
-44.17,-72.90,-5.00,5.00,1
35.56,-88.89,0.00,-5.00,1
-78.06,-9.45,-5.00,0.00,1
-50.70,-73.93,0.00,-5.00,1
11.41,62.95,-5.00,5.00,1
-88.62,-98.43,-5.00,5.00,1
-91.30,33.48,0.00,-5.00,1
76.51,51.19,0.00,-5.00,1
67.89,-72.79,5.00,5.00,1
-52.70,27.16,-5.00,-5.00,1
96.69,96.82,0.00,5.00,1
77.58,-61.05,0.00,-5.00,1
-47.40,-24.06,-5.00,-5.00,1
-7.90,60.73,-5.00,5.00,1
-57.67,-2.39,0.00,5.00,1
-63.96,16.89,5.00,0.00,0
3.28,-71.44,-5.00,0.00,1
-87.39,13.62,-5.00,5.00,1
67.25,-55.56,0.00,-5.00,1
94.05,49.11,0.00,-5.00,1
-38.59,41.23,5.00,0.00,0
-65.53,11.86,5.00,0.00,0
54.07,0.66,5.00,0.00,1
97.35,-71.30,-5.00,-5.00,1
65.50,-10.83,-5.00,-5.00,1
84.01,12.84,0.00,5.00,1
48.35,-41.64,0.00,-5.00,1
-79.63,-90.65,5.00,5.00,1
44.53,-84.16,5.00,5.00,1
65.05,-57.20,5.00,5.00,1
82.90,-78.18,5.00,0.00,1
-79.78,-53.82,0.00,-5.00,1
-56.32,-17.68,5.00,-5.00,1
55.72,-77.51,5.00,5.00,1
89.22,-13.86,5.00,5.00,1
10.06,-82.92,-5.00,0.00,1
-92.21,95.20,5.00,0.00,1
-35.75,69.57,-5.00,-5.00,1
-97.35,1.73,-5.00,-5.00,1
-21.71,75.43,-5.00,5.00,1
54.88,-46.33,0.00,5.00,1
-28.10,74.53,-5.00,-5.00,1
-70.35,-28.62,5.00,5.00,0
85.44,-6.27,5.00,5.00,1
-67.09,75.52,-5.00,-5.00,1
89.85,20.74,-5.00,-5.00,0
-80.17,-67.61,-5.00,0.00,1
36.07,98.57,0.00,-5.00,1
72.85,-90.31,5.00,0.00,1
73.07,52.28,0.00,5.00,1
-76.39,20.77,5.00,-5.00,0
12.51,-78.83,-5.00,5.00,0
73.27,99.33,-5.00,-5.00,1
24.93,74.55,-5.00,5.00,1
92.57,-85.54,5.00,5.00,1
-3.45,-83.96,0.00,-5.00,1
50.39,62.47,5.00,-5.00,1
-95.79,8.97,-5.00,0.00,1
-31.10,-98.52,5.00,0.00,1
99.84,-75.58,0.00,-5.00,1
59.40,-37.00,-5.00,0.00,0
-25.65,-79.47,-5.00,-5.00,1
66.46,-84.41,5.00,5.00,1
-4.57,96.59,-5.00,0.00,1
-10.56,96.44,-5.00,5.00,1
49.45,16.18,5.00,0.00,1
22.96,-46.90,0.00,5.00,1
-62.07,-91.06,0.00,-5.00,1
-62.88,40.86,-5.00,5.00,1
44.71,-29.03,-5.00,0.00,1
-78.17,-58.43,-5.00,0.00,1
90.38,-23.28,0.00,5.00,1
98.93,48.91,-5.00,0.00,1
-94.80,-73.16,0.00,-5.00,1
-93.40,9.10,-5.00,5.00,1
60.15,-81.66,5.00,5.00,1
6.65,-75.62,-5.00,-5.00,1
14.42,97.65,5.00,5.00,1
94.95,2.98,-5.00,5.00,1
-87.31,-48.37,-5.00,0.00,1
72.61,61.50,5.00,-5.00,1
72.03,-58.45,-5.00,-5.00,1
61.44,96.00,-5.00,5.00,1
89.05,14.96,5.00,-5.00,1
89.18,58.07,-5.00,5.00,1
13.28,-61.03,5.00,5.00,1
63.36,-27.88,5.00,0.00,1
-44.41,-84.14,0.00,-5.00,1
-52.13,46.21,-5.00,0.00,1
94.01,-9.00,5.00,0.00,1
75.66,43.00,5.00,0.00,1
-34.08,-45.71,-5.00,5.00,1
-86.08,0.10,5.00,5.00,1
4.23,-89.39,-5.00,0.00,1
73.26,57.91,-5.00,0.00,1
-8.54,-82.42,-5.00,5.00,1
-68.15,93.63,-5.00,-5.00,1
97.06,-35.23,-5.00,-5.00,1
-42.77,63.78,-5.00,-5.00,1
15.69,78.40,0.00,5.00,1
25.55,74.14,5.00,5.00,1
29.07,-85.63,-5.00,-5.00,1
-82.08,59.32,-5.00,0.00,1
18.93,-64.40,-5.00,5.00,0
35.76,87.95,-5.00,0.00,1
-49.27,-63.86,-5.00,0.00,1
-74.38,-21.46,5.00,5.00,0
-68.54,-5.09,0.00,-5.00,1
-69.98,-10.00,5.00,0.00,0
